areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-14,788,88284
overview,United Kingdom,K02000001,2021-01-13,928,87496
overview,United Kingdom,K02000001,2021-01-12,997,86568
overview,United Kingdom,K02000001,2021-01-11,1034,85571
overview,United Kingdom,K02000001,2021-01-10,944,84537
overview,United Kingdom,K02000001,2021-01-09,918,83593
overview,United Kingdom,K02000001,2021-01-08,878,82675
overview,United Kingdom,K02000001,2021-01-07,934,81797
overview,United Kingdom,K02000001,2021-01-06,884,80863
overview,United Kingdom,K02000001,2021-01-05,866,79979
overview,United Kingdom,K02000001,2021-01-04,828,79113
overview,United Kingdom,K02000001,2021-01-03,724,78285
overview,United Kingdom,K02000001,2021-01-02,734,77561
overview,United Kingdom,K02000001,2021-01-01,727,76827
overview,United Kingdom,K02000001,2020-12-31,732,76100
overview,United Kingdom,K02000001,2020-12-30,709,75368
overview,United Kingdom,K02000001,2020-12-29,653,74659
overview,United Kingdom,K02000001,2020-12-28,669,74006
overview,United Kingdom,K02000001,2020-12-27,636,73337
overview,United Kingdom,K02000001,2020-12-26,650,72701
overview,United Kingdom,K02000001,2020-12-25,601,72051
overview,United Kingdom,K02000001,2020-12-24,574,71450
overview,United Kingdom,K02000001,2020-12-23,564,70876
overview,United Kingdom,K02000001,2020-12-22,563,70312
overview,United Kingdom,K02000001,2020-12-21,567,69749
overview,United Kingdom,K02000001,2020-12-20,503,69182
overview,United Kingdom,K02000001,2020-12-19,484,68679
overview,United Kingdom,K02000001,2020-12-18,510,68195
overview,United Kingdom,K02000001,2020-12-17,529,67685
overview,United Kingdom,K02000001,2020-12-16,436,67156
overview,United Kingdom,K02000001,2020-12-15,452,66720
overview,United Kingdom,K02000001,2020-12-14,478,66268
overview,United Kingdom,K02000001,2020-12-13,414,65790
overview,United Kingdom,K02000001,2020-12-12,439,65376
overview,United Kingdom,K02000001,2020-12-11,451,64937
overview,United Kingdom,K02000001,2020-12-10,442,64486
overview,United Kingdom,K02000001,2020-12-09,430,64044
overview,United Kingdom,K02000001,2020-12-08,433,63614
overview,United Kingdom,K02000001,2020-12-07,419,63181
overview,United Kingdom,K02000001,2020-12-06,416,62762
overview,United Kingdom,K02000001,2020-12-05,392,62346
overview,United Kingdom,K02000001,2020-12-04,469,61954
overview,United Kingdom,K02000001,2020-12-03,471,61485
overview,United Kingdom,K02000001,2020-12-02,387,61014
overview,United Kingdom,K02000001,2020-12-01,404,60627
overview,United Kingdom,K02000001,2020-11-30,419,60223
overview,United Kingdom,K02000001,2020-11-29,461,59804
overview,United Kingdom,K02000001,2020-11-28,461,59343
overview,United Kingdom,K02000001,2020-11-27,421,58882
overview,United Kingdom,K02000001,2020-11-26,432,58461
overview,United Kingdom,K02000001,2020-11-25,480,58029
overview,United Kingdom,K02000001,2020-11-24,458,57549
overview,United Kingdom,K02000001,2020-11-23,463,57091
overview,United Kingdom,K02000001,2020-11-22,475,56628
overview,United Kingdom,K02000001,2020-11-21,462,56153
overview,United Kingdom,K02000001,2020-11-20,451,55691
overview,United Kingdom,K02000001,2020-11-19,461,55240
overview,United Kingdom,K02000001,2020-11-18,486,54779
overview,United Kingdom,K02000001,2020-11-17,439,54293
overview,United Kingdom,K02000001,2020-11-16,423,53854
overview,United Kingdom,K02000001,2020-11-15,451,53431
overview,United Kingdom,K02000001,2020-11-14,427,52980
overview,United Kingdom,K02000001,2020-11-13,434,52553
overview,United Kingdom,K02000001,2020-11-12,419,52119
overview,United Kingdom,K02000001,2020-11-11,387,51700
overview,United Kingdom,K02000001,2020-11-10,387,51313
overview,United Kingdom,K02000001,2020-11-09,480,50926
overview,United Kingdom,K02000001,2020-11-08,414,50446
overview,United Kingdom,K02000001,2020-11-07,389,50032
overview,United Kingdom,K02000001,2020-11-06,401,49643
overview,United Kingdom,K02000001,2020-11-05,376,49242
overview,United Kingdom,K02000001,2020-11-04,329,48866
overview,United Kingdom,K02000001,2020-11-03,360,48537
overview,United Kingdom,K02000001,2020-11-02,330,48177
overview,United Kingdom,K02000001,2020-11-01,357,47847
overview,United Kingdom,K02000001,2020-10-31,320,47490
overview,United Kingdom,K02000001,2020-10-30,338,47170
overview,United Kingdom,K02000001,2020-10-29,310,46832
overview,United Kingdom,K02000001,2020-10-28,283,46522
overview,United Kingdom,K02000001,2020-10-27,266,46239
overview,United Kingdom,K02000001,2020-10-26,277,45973
overview,United Kingdom,K02000001,2020-10-25,247,45696
overview,United Kingdom,K02000001,2020-10-24,213,45449
overview,United Kingdom,K02000001,2020-10-23,222,45236
overview,United Kingdom,K02000001,2020-10-22,234,45014
overview,United Kingdom,K02000001,2020-10-21,222,44780
overview,United Kingdom,K02000001,2020-10-20,194,44558
overview,United Kingdom,K02000001,2020-10-19,191,44364
overview,United Kingdom,K02000001,2020-10-18,159,44173
overview,United Kingdom,K02000001,2020-10-17,176,44014
overview,United Kingdom,K02000001,2020-10-16,147,43838
overview,United Kingdom,K02000001,2020-10-15,151,43691
overview,United Kingdom,K02000001,2020-10-14,115,43540
overview,United Kingdom,K02000001,2020-10-13,110,43425
overview,United Kingdom,K02000001,2020-10-12,112,43315
overview,United Kingdom,K02000001,2020-10-11,122,43203
overview,United Kingdom,K02000001,2020-10-10,103,43081
overview,United Kingdom,K02000001,2020-10-09,79,42978
overview,United Kingdom,K02000001,2020-10-08,92,42899
overview,United Kingdom,K02000001,2020-10-07,102,42807
overview,United Kingdom,K02000001,2020-10-06,69,42705
overview,United Kingdom,K02000001,2020-10-05,70,42636
overview,United Kingdom,K02000001,2020-10-04,60,42566
overview,United Kingdom,K02000001,2020-10-03,66,42506
overview,United Kingdom,K02000001,2020-10-02,68,42440
overview,United Kingdom,K02000001,2020-10-01,66,42372
overview,United Kingdom,K02000001,2020-09-30,57,42306
overview,United Kingdom,K02000001,2020-09-29,48,42249
overview,United Kingdom,K02000001,2020-09-28,54,42201
overview,United Kingdom,K02000001,2020-09-27,47,42147
overview,United Kingdom,K02000001,2020-09-26,39,42100
overview,United Kingdom,K02000001,2020-09-25,32,42061
overview,United Kingdom,K02000001,2020-09-24,35,42029
overview,United Kingdom,K02000001,2020-09-23,56,41994
overview,United Kingdom,K02000001,2020-09-22,39,41938
overview,United Kingdom,K02000001,2020-09-21,27,41899
overview,United Kingdom,K02000001,2020-09-20,31,41872
overview,United Kingdom,K02000001,2020-09-19,20,41841
overview,United Kingdom,K02000001,2020-09-18,23,41821
overview,United Kingdom,K02000001,2020-09-17,27,41798
overview,United Kingdom,K02000001,2020-09-16,26,41771
overview,United Kingdom,K02000001,2020-09-15,18,41745
overview,United Kingdom,K02000001,2020-09-14,21,41727
overview,United Kingdom,K02000001,2020-09-13,16,41706
overview,United Kingdom,K02000001,2020-09-12,18,41690
overview,United Kingdom,K02000001,2020-09-11,13,41672
overview,United Kingdom,K02000001,2020-09-10,13,41659
overview,United Kingdom,K02000001,2020-09-09,9,41646
overview,United Kingdom,K02000001,2020-09-08,9,41637
overview,United Kingdom,K02000001,2020-09-07,15,41628
overview,United Kingdom,K02000001,2020-09-06,8,41613
overview,United Kingdom,K02000001,2020-09-05,13,41605
overview,United Kingdom,K02000001,2020-09-04,7,41592
overview,United Kingdom,K02000001,2020-09-03,10,41585
overview,United Kingdom,K02000001,2020-09-02,9,41575
overview,United Kingdom,K02000001,2020-09-01,3,41566
overview,United Kingdom,K02000001,2020-08-31,9,41563
overview,United Kingdom,K02000001,2020-08-30,6,41554
overview,United Kingdom,K02000001,2020-08-29,5,41548
overview,United Kingdom,K02000001,2020-08-28,10,41543
overview,United Kingdom,K02000001,2020-08-27,8,41533
overview,United Kingdom,K02000001,2020-08-26,11,41525
overview,United Kingdom,K02000001,2020-08-25,12,41514
overview,United Kingdom,K02000001,2020-08-24,6,41502
overview,United Kingdom,K02000001,2020-08-23,14,41496
overview,United Kingdom,K02000001,2020-08-22,8,41482
overview,United Kingdom,K02000001,2020-08-21,7,41474
overview,United Kingdom,K02000001,2020-08-20,8,41467
overview,United Kingdom,K02000001,2020-08-19,3,41459
overview,United Kingdom,K02000001,2020-08-18,9,41456
overview,United Kingdom,K02000001,2020-08-17,12,41447
overview,United Kingdom,K02000001,2020-08-16,4,41435
overview,United Kingdom,K02000001,2020-08-15,12,41431
overview,United Kingdom,K02000001,2020-08-14,7,41419
overview,United Kingdom,K02000001,2020-08-13,9,41412
overview,United Kingdom,K02000001,2020-08-12,7,41403
overview,United Kingdom,K02000001,2020-08-11,10,41396
overview,United Kingdom,K02000001,2020-08-10,13,41386
overview,United Kingdom,K02000001,2020-08-09,8,41373
overview,United Kingdom,K02000001,2020-08-08,14,41365
overview,United Kingdom,K02000001,2020-08-07,12,41351
overview,United Kingdom,K02000001,2020-08-06,9,41339
overview,United Kingdom,K02000001,2020-08-05,6,41330
overview,United Kingdom,K02000001,2020-08-04,14,41324
overview,United Kingdom,K02000001,2020-08-03,15,41310
overview,United Kingdom,K02000001,2020-08-02,10,41295
overview,United Kingdom,K02000001,2020-08-01,11,41285
overview,United Kingdom,K02000001,2020-07-31,14,41274
overview,United Kingdom,K02000001,2020-07-30,10,41260
overview,United Kingdom,K02000001,2020-07-29,12,41250
overview,United Kingdom,K02000001,2020-07-28,12,41238
overview,United Kingdom,K02000001,2020-07-27,11,41226
overview,United Kingdom,K02000001,2020-07-26,16,41215
overview,United Kingdom,K02000001,2020-07-25,15,41199
overview,United Kingdom,K02000001,2020-07-24,7,41184
overview,United Kingdom,K02000001,2020-07-23,16,41177
overview,United Kingdom,K02000001,2020-07-22,17,41161
overview,United Kingdom,K02000001,2020-07-21,20,41144
overview,United Kingdom,K02000001,2020-07-20,12,41124
overview,United Kingdom,K02000001,2020-07-19,14,41112
overview,United Kingdom,K02000001,2020-07-18,14,41098
overview,United Kingdom,K02000001,2020-07-17,18,41084
overview,United Kingdom,K02000001,2020-07-16,13,41066
overview,United Kingdom,K02000001,2020-07-15,20,41053
overview,United Kingdom,K02000001,2020-07-14,21,41033
overview,United Kingdom,K02000001,2020-07-13,24,41012
overview,United Kingdom,K02000001,2020-07-12,13,40988
overview,United Kingdom,K02000001,2020-07-11,22,40975
overview,United Kingdom,K02000001,2020-07-10,21,40953
overview,United Kingdom,K02000001,2020-07-09,37,40932
overview,United Kingdom,K02000001,2020-07-08,24,40895
overview,United Kingdom,K02000001,2020-07-07,27,40871
overview,United Kingdom,K02000001,2020-07-06,35,40844
overview,United Kingdom,K02000001,2020-07-05,27,40809
overview,United Kingdom,K02000001,2020-07-04,33,40782
overview,United Kingdom,K02000001,2020-07-03,29,40749
overview,United Kingdom,K02000001,2020-07-02,43,40720
overview,United Kingdom,K02000001,2020-07-01,27,40677
overview,United Kingdom,K02000001,2020-06-30,47,40650
overview,United Kingdom,K02000001,2020-06-29,39,40603
overview,United Kingdom,K02000001,2020-06-28,45,40564
overview,United Kingdom,K02000001,2020-06-27,49,40519
overview,United Kingdom,K02000001,2020-06-26,41,40470
overview,United Kingdom,K02000001,2020-06-25,68,40429
overview,United Kingdom,K02000001,2020-06-24,75,40361
overview,United Kingdom,K02000001,2020-06-23,64,40286
overview,United Kingdom,K02000001,2020-06-22,64,40222
overview,United Kingdom,K02000001,2020-06-21,54,40158
overview,United Kingdom,K02000001,2020-06-20,60,40104
overview,United Kingdom,K02000001,2020-06-19,52,40044
overview,United Kingdom,K02000001,2020-06-18,61,39992
overview,United Kingdom,K02000001,2020-06-17,58,39931
overview,United Kingdom,K02000001,2020-06-16,84,39873
overview,United Kingdom,K02000001,2020-06-15,70,39789
overview,United Kingdom,K02000001,2020-06-14,87,39719
overview,United Kingdom,K02000001,2020-06-13,63,39632
overview,United Kingdom,K02000001,2020-06-12,79,39569
overview,United Kingdom,K02000001,2020-06-11,80,39490
overview,United Kingdom,K02000001,2020-06-10,109,39410
overview,United Kingdom,K02000001,2020-06-09,90,39301
overview,United Kingdom,K02000001,2020-06-08,123,39211
overview,United Kingdom,K02000001,2020-06-07,127,39088
overview,United Kingdom,K02000001,2020-06-06,111,38961
overview,United Kingdom,K02000001,2020-06-05,122,38850
overview,United Kingdom,K02000001,2020-06-04,134,38728
overview,United Kingdom,K02000001,2020-06-03,155,38594
overview,United Kingdom,K02000001,2020-06-02,169,38439
overview,United Kingdom,K02000001,2020-06-01,135,38270
overview,United Kingdom,K02000001,2020-05-31,126,38135
overview,United Kingdom,K02000001,2020-05-30,163,38009
overview,United Kingdom,K02000001,2020-05-29,186,37846
overview,United Kingdom,K02000001,2020-05-28,217,37660
overview,United Kingdom,K02000001,2020-05-27,197,37443
overview,United Kingdom,K02000001,2020-05-26,212,37246
overview,United Kingdom,K02000001,2020-05-25,201,37034
overview,United Kingdom,K02000001,2020-05-24,195,36833
overview,United Kingdom,K02000001,2020-05-23,216,36638
overview,United Kingdom,K02000001,2020-05-22,222,36422
overview,United Kingdom,K02000001,2020-05-21,237,36200
overview,United Kingdom,K02000001,2020-05-20,267,35963
overview,United Kingdom,K02000001,2020-05-19,275,35696
overview,United Kingdom,K02000001,2020-05-18,293,35421
overview,United Kingdom,K02000001,2020-05-17,266,35128
overview,United Kingdom,K02000001,2020-05-16,313,34862
overview,United Kingdom,K02000001,2020-05-15,312,34549
overview,United Kingdom,K02000001,2020-05-14,333,34237
overview,United Kingdom,K02000001,2020-05-13,316,33904
overview,United Kingdom,K02000001,2020-05-12,320,33588
overview,United Kingdom,K02000001,2020-05-11,308,33268
overview,United Kingdom,K02000001,2020-05-10,347,32960
overview,United Kingdom,K02000001,2020-05-09,378,32613
overview,United Kingdom,K02000001,2020-05-08,381,32235
overview,United Kingdom,K02000001,2020-05-07,460,31854
overview,United Kingdom,K02000001,2020-05-06,461,31394
overview,United Kingdom,K02000001,2020-05-05,463,30933
overview,United Kingdom,K02000001,2020-05-04,483,30470
overview,United Kingdom,K02000001,2020-05-03,448,29987
overview,United Kingdom,K02000001,2020-05-02,493,29539
overview,United Kingdom,K02000001,2020-05-01,567,29046
overview,United Kingdom,K02000001,2020-04-30,549,28479
overview,United Kingdom,K02000001,2020-04-29,569,27930
overview,United Kingdom,K02000001,2020-04-28,560,27361
overview,United Kingdom,K02000001,2020-04-27,595,26801
overview,United Kingdom,K02000001,2020-04-26,633,26206
overview,United Kingdom,K02000001,2020-04-25,645,25573
overview,United Kingdom,K02000001,2020-04-24,682,24928
overview,United Kingdom,K02000001,2020-04-23,674,24246
overview,United Kingdom,K02000001,2020-04-22,728,23572
overview,United Kingdom,K02000001,2020-04-21,742,22844
overview,United Kingdom,K02000001,2020-04-20,782,22102
overview,United Kingdom,K02000001,2020-04-19,763,21320
overview,United Kingdom,K02000001,2020-04-18,799,20557
overview,United Kingdom,K02000001,2020-04-17,819,19758
overview,United Kingdom,K02000001,2020-04-16,838,18939
overview,United Kingdom,K02000001,2020-04-15,879,18101
overview,United Kingdom,K02000001,2020-04-14,859,17222
overview,United Kingdom,K02000001,2020-04-13,893,16363
overview,United Kingdom,K02000001,2020-04-12,957,15470
overview,United Kingdom,K02000001,2020-04-11,956,14513
overview,United Kingdom,K02000001,2020-04-10,941,13557
overview,United Kingdom,K02000001,2020-04-09,998,12616
overview,United Kingdom,K02000001,2020-04-08,1072,11618
overview,United Kingdom,K02000001,2020-04-07,999,10546
overview,United Kingdom,K02000001,2020-04-06,892,9547
overview,United Kingdom,K02000001,2020-04-05,914,8655
overview,United Kingdom,K02000001,2020-04-04,904,7741
overview,United Kingdom,K02000001,2020-04-03,839,6837
overview,United Kingdom,K02000001,2020-04-02,805,5998
overview,United Kingdom,K02000001,2020-04-01,767,5193
overview,United Kingdom,K02000001,2020-03-31,661,4426
overview,United Kingdom,K02000001,2020-03-30,585,3765
overview,United Kingdom,K02000001,2020-03-29,507,3180
overview,United Kingdom,K02000001,2020-03-28,436,2673
overview,United Kingdom,K02000001,2020-03-27,399,2237
overview,United Kingdom,K02000001,2020-03-26,360,1838
overview,United Kingdom,K02000001,2020-03-25,302,1478
overview,United Kingdom,K02000001,2020-03-24,237,1176
overview,United Kingdom,K02000001,2020-03-23,186,939
overview,United Kingdom,K02000001,2020-03-22,165,753
overview,United Kingdom,K02000001,2020-03-21,131,588
overview,United Kingdom,K02000001,2020-03-20,109,457
overview,United Kingdom,K02000001,2020-03-19,74,348
overview,United Kingdom,K02000001,2020-03-18,68,274
overview,United Kingdom,K02000001,2020-03-17,52,206
overview,United Kingdom,K02000001,2020-03-16,46,154
overview,United Kingdom,K02000001,2020-03-15,32,108
overview,United Kingdom,K02000001,2020-03-14,22,76
overview,United Kingdom,K02000001,2020-03-13,16,54
overview,United Kingdom,K02000001,2020-03-12,13,38
overview,United Kingdom,K02000001,2020-03-11,8,25
overview,United Kingdom,K02000001,2020-03-10,3,17
overview,United Kingdom,K02000001,2020-03-09,5,14
overview,United Kingdom,K02000001,2020-03-08,3,9
